age,gender,income,loan_amount,pin_code,employment_type,credit_score,outcome
48,M,139258,844217,241001,salaried,692,APPROVED
41,M,72770,171477,110044,salaried,790,REJECTED
56,M,109425,531640,500001,salaried,677,APPROVED
43,M,58576,1481015,400002,self_employed,828,APPROVED
55,F,11903,837828,845401,self_employed,636,REJECTED
48,M,91677,1095211,110002,informal,737,APPROVED
37,M,131615,822325,600002,self_employed,752,REJECTED
57,M,107948,445462,221001,salaried,787,APPROVED
40,F,132997,1172183,110002,salaried,751,REJECTED
41,M,60092,328365,845401,salaried,694,APPROVED
41,F,88717,1112605,221002,self_employed,503,APPROVED
27,M,63037,341986,110002,self_employed,788,APPROVED
53,M,89377,1347087,600002,informal,815,APPROVED
48,M,105790,1195792,273001,self_employed,741,REJECTED
24,M,44649,570812,221001,informal,637,APPROVED
56,F,87548,757856,845401,self_employed,519,REJECTED
51,M,40793,1408345,400002,informal,755,REJECTED
57,M,86581,314827,221001,self_employed,751,APPROVED
57,M,101251,778708,845406,informal,641,APPROVED
59,M,106736,1042499,110001,self_employed,676,APPROVED
59,M,97167,329780,221002,salaried,779,APPROVED
26,Other,67820,252591,845401,informal,840,APPROVED
62,M,67106,906919,500002,salaried,540,APPROVED
47,M,142804,650808,221001,self_employed,756,REJECTED
59,F,142286,404386,221001,salaried,833,REJECTED
28,F,69757,331826,226001,salaried,726,REJECTED
57,F,26636,1423491,110044,salaried,607,REJECTED
32,M,84210,682220,400001,salaried,823,APPROVED
58,M,67138,1025246,400002,self_employed,688,APPROVED
52,M,108718,660771,273001,salaried,613,REJECTED
59,Other,57473,855222,400002,self_employed,830,APPROVED
42,F,24426,1325385,221002,self_employed,798,REJECTED
61,F,118693,918307,560002,salaried,679,APPROVED
61,F,35253,210468,845406,self_employed,766,REJECTED
60,F,132883,1412243,600001,salaried,698,APPROVED
26,Other,117254,1461336,845406,self_employed,824,APPROVED
49,F,48160,562119,110044,self_employed,789,REJECTED
35,Other,119205,1346267,110001,self_employed,754,REJECTED
45,M,21509,112255,273001,salaried,645,APPROVED
30,M,33014,851546,110043,self_employed,847,APPROVED
62,M,12477,409417,400001,salaried,722,APPROVED
36,M,37291,1090575,600002,salaried,539,APPROVED
26,F,71190,604811,500002,informal,820,APPROVED
30,F,70668,192539,500001,self_employed,504,APPROVED
25,F,83162,1328733,221002,salaried,509,REJECTED
31,F,41531,991704,600002,salaried,585,REJECTED
44,F,46517,1031272,400001,informal,734,APPROVED
47,F,67303,691726,560002,salaried,693,APPROVED
27,Other,135507,321506,600002,salaried,521,APPROVED
41,F,21542,1490853,400001,informal,544,REJECTED
61,M,89848,1116061,273001,self_employed,835,APPROVED
52,M,10179,745696,226002,informal,603,REJECTED
30,F,31711,929907,560001,informal,561,APPROVED
52,F,83442,1321968,845406,salaried,594,APPROVED
41,M,138594,1250990,273001,self_employed,537,REJECTED
44,F,113873,1126802,845401,salaried,653,APPROVED
39,Other,92409,258596,226002,salaried,584,APPROVED
25,M,89992,115653,600001,self_employed,678,REJECTED
41,M,12222,797947,221002,informal,703,REJECTED
33,M,121475,365034,600002,informal,654,APPROVED
55,F,141896,400863,845401,informal,548,APPROVED
44,M,124744,1354023,110002,salaried,547,APPROVED
62,F,127900,963708,500001,salaried,744,APPROVED
32,F,125680,1007387,400002,salaried,719,APPROVED
